"hours","total_events","unique_users","unique_viewers","unique_purchasers","conversion_rate_hour"
0,448734,71278,71241,2090,2.93
1,843397,137739,137640,3384,2.46
2,1676249,267053,266871,8853,3.32
3,2399278,384239,383846,20171,5.25
4,3066909,482698,482033,33395,6.93
5,3444239,543463,542464,40264,7.42
6,3554901,569764,568567,43119,7.58
7,3584742,581100,579747,44035,7.60
8,3689021,606584,605074,49206,8.13
9,3653758,595633,593908,52820,8.89
10,3627788,581535,580086,51303,8.84
11,3582860,574706,573788,47938,8.35
12,3588308,574208,573234,46343,8.08
13,3908344,603015,601897,45051,7.48
14,4335113,636396,635262,44746,7.04
15,4451101,622100,621006,39798,6.41
16,4511068,584667,583843,34230,5.86
17,4415833,529706,529036,32506,6.14
18,3266804,399604,399128,17382,4.35
19,2375711,277853,277560,11965,4.31
20,1431589,170068,169873,7238,4.26
21,825518,99181,99077,4428,4.47
22,480585,62008,61932,2917,4.71
23,340129,47780,47737,1971,4.13
